"sublunary","tính từ: trần thế, trần gian","sʌb'lu:nə"
"warder","danh từ: cai ngục","'wɔ:də"
"pen and ink","danh từ: các thứ để viết, bút nghiên","'penənd'iɳk"
"dialyze","ngoại động từ: (hoá học) thẩm tách","'daiəlaiz"
"steam-jacket","danh từ: (kỹ thuật) áo hơi (bao quanh xylanh)","'sti:m'dʤækit"
"physiographic","tính từ: (thuộc) địa văn học",",fiziə'græfik"
"inebriant","tính từ: làm say","i'ni:briənt"
"platinization","danh từ: sự mạ platin",",plætinai'zeiʃn"
"alicylic","tính từ: (hoá học) (thuộc) vòng no",",æli'saiklik"
"hereabout","phó từ: quanh đây, gần đây","'hiərə,baut"
"tryprin","danh từ: (sinh vật học) Tripxin","'tripsin"
"liter","danh từ: lít","'li:tə"
"intrepidity","danh từ: tính gan dạ, tính dũng cảm",",intri'piditi"
"uncle","danh từ: chú; bác; cậu; dượng","'ʌɳkl"
"surprisal","danh từ: sự làm ngạc nhiên; sự ngạc nhiên","sə'praizəl"
"discussion","danh từ: sự thảo luận, sự bàn cãi, sự tranh luận; cuộc thảo luận, cuộc bàn cãi, cuộc tranh luận","dis'kʌʃn"
"rope-ladder","danh từ: thang dây","'roup'lædə"
"prune","ngoại động từ: sửa, tỉa bớt, xén bớt","prune"
"moronic","tính từ: (thuộc) người trẻ nít","mə'rɔnik"
"quacksalver","danh từ: lang băm","'kwæk,sælvə"
"pink tea","danh từ: (từ Mỹ,nghĩa Mỹ) tiệc trà hoa hoè hoa sói (của các bà)","'piɳk'ti:"
"pressure-group","danh từ: nhóm người gây sức ép (đối với một chính phủ)","'preʃə'gru:p"
"cuckold","danh từ: anh chồng bị cắm sừng","'kʌkəld"
"spumous","tính từ: có bọt, đầy bọt; nổi bọt","spju'mesnt"
"whip-saw","danh từ: (kỹ thuật) cưa khoét","'wips :"
"scented","tính từ: ướp nước hoa, xức nước hoa","'sentid"
"deck-hand","danh từ: người lau quét boong tàu","'dekhænd"
"unwillingly","phó từ: không bằng lòng, không vui lòng, miễn cưỡng","' n'wili li"
"peaceable","tính từ: yêu hoà bình","'pi:səbl"
"unbutton","ngoại động từ: mở khuy (áo...)","'ʌn'bʌtn"
"encroacher","danh từ: người xâm lấn, người xâm phạm","in'kroutʃə"
"pomona","danh từ: (thần thoại,thần học) nữ thần quả (thần thoại La-mã)","pə'mounə"
"simultaneity","danh từ: sự đồng thời; tính đồng thời",",siməltə'niəti"
"spendthrift","danh từ: người ăn tiêu hoang phí, người vung tay quá trán","'spendθrift"
"macadamize","ngoại động từ: đắp (đường) bằng đá dăm nện","mə'kædəmaiz"
"egyptology","danh từ: Ai-cập học (khoa khảo cứu cổ học Ai-cập)",",i:dʤip'tɔlədʤi"
"politeness","danh từ: sự lễ phép, sự lễ độ; sự lịch sự, sự lịch thiệp","pə'laitnis"
"o.k.","thán từ: (từ lóng) được!, đồng ý!, tán thành!, tốt!","'ou'kei"
"internode","danh từ: (thực vật học) gióng, lóng","'intənoud"
"hoar","tính từ: hoa râm (tóc)","'hɔ:"
"goof","danh từ: (từ lóng) người ngu, người ngốc","gu:f"
"cresset","danh từ: đèn chòi canh; đèn bến cảng","kresit"
"parachute","danh từ: cái dù (để nhảy)","'pærəʃu:t"
"purchasable","tính từ: có thể mua được, có thể tậu được; đáng mua, đáng tạo","'pə:tʃəsəbl"
"bathometer","danh từ: máy đo sâu","bə'θɔmitə"
"genera","danh từ,  số nhiều genera: (sinh vật học) phái, giống","'dʤi:nəs"
"reprovingly","phó từ: mắng mỏ, quở trách, khiển trách","ri'pru:viɳli"
"wilful","tính từ ((từ Mỹ,nghĩa Mỹ) willful): cố ý, chủ tâm","'wilful"
"dressing-gown","danh từ: áo khoác ngoài (mặc ở nhà khi trang sức, sau khi tắm... của đàn bà)","'dresiɳgaun"
"go-easy","tính từ (như) easy-going: ","'gou'i:zi"
"plumpness","danh từ: sự tròn trĩnh, sự phúng phính; vẻ mụ mẫm","'plʌmpnis"
"self-help","danh từ: sự tự lực","'self'help"
"immersion heater","danh từ: que đun nước (nhận chìm xuống nước)","i'mə:ʃn'hi:tə"
"chivalry","danh từ: phong cách hiệp sĩ","'ʃivəlri"
"accept","ngoại động từ: nhận, chấp nhận, chấp thuận","ək'sept"
"emasculative","tính từ: để thiến, để hoạn","i'mæskjuleitiv"
"womanlike","tính từ: như đàn bà, như phụ nữ","'wumənlaik"
"metacentric","tính từ: (toán học) khuynh tâm",",metə'sentrik"
"instructorial","tính từ: (thuộc) thầy dạy","in'strʌk'tɔ:riəl"
"incarnational","tính từ: (thuộc) sự hiện thân",",inkɑ:'neiʃənl"
"chimera","danh từ: (thần thoại Hy-lạp) quái vật đuôi rắn mình dê đầu sư tử","kai'miərə"
"unalienable","tính từ: không thể chuyển nhượng được, không thể nhường lại được","'ʌn'eiljənəbl"
"stilton","danh từ: phó mát xtintơn ((cũng) stilton cheese)","'stiltn"
"boodle","danh từ: bọn, đám, lũ","'bu:bl"
"bald-headed","tính từ: hói đầu","'bɔ:ld'hedid"
"unmusical","tính từ: không có tính chất nhạc, không du dương","'ʌn'mju:zikəl"
"first-quater","danh từ: trăng non","'fə:st'kwɔ:tə"
"cocked hat","danh từ: mũ ba góc không vành","'kɔkt'hæt"
"corrode","ngoại động từ: gặm mòn ((nghĩa đen) & (nghĩa bóng))","kə'roud"
"preconceive","ngoại động từ: nhận thức trước, nghĩ trước, tưởng tượng trước, định trước","'pri:kən'si:v"
"proletariate","danh từ: giai cấp vô sản","proletariate"
"repute","danh từ: tiếng, tiếng tăm, lời đồn","ri'pju:t"
"oyster-bar","danh từ: quầy bán sò (ở khách sạn)","'ɔistəbɑ:"
"cart-horse","danh từ: ngựa kéo xe","'kɑ:thɔ:s"
"saddler","danh từ: người làm yên cương; người bán yên cương","'sædlə"
"standard","danh từ: cờ hiệu, cờ (đen & bóng)","'stændəd"
"elysium","danh từ: thiên đường, chốn thiên đường (thần thoại Hy-lạp)","i'liziəm"
"sibyl","danh từ: bà đồng, bà cốt","'sibil"
"stereotypic","tính từ: (thuộc) phương pháp đúc bản in; (thuộc) thuật in bằng bản in đúc",",stiəriə'tipik"
"gnashing","danh từ: sự nghiến răng","'næʃiɳ"
"meager","tính từ: gầy còm, gầy gò, khẳng khiu, hom hem","'mi:gə"
"yea","phó từ & danh từ: (từ cổ,nghĩa cổ) (như) yes","jei"
"erratic","tính từ: thất thường, được chăng hay chớ, bạ đâu hay đấy","i'rætik"
"esquimaux","danh từ,  số nhiều Esquimaux: (như) Esquimo","'eskimou"
"monovalency","danh từ: (hoá học) hoá trị một","'mɔnou'veiləns"
"adulterate","tính từ: có pha (rượu)","ə'dʌltərit"
"unreadiness","danh từ: tình trạng không sẵn sàng, tình trạng không chuẩn bị","' n'redinis"
"anesthetic","tính từ:<i> (anesthetic)</i>: (y học) gây tê, gây mê",",ænis'θetik"
"waxen","tính từ: giống sáp; màu sáp, vàng nhạt (như sáp)","'wæksən"
"casque","danh từ: (sử học),  (thơ ca) mũ sắt","kæsk"
"mother-in-law","danh từ: mẹ chồng, mẹ v","'mʌðərinlɔ:"
"angustura","danh từ: vỏ angotua (vỏ một loài cây thuộc họ cam dùng làm thuốc giải nhiệt và thuốc bổ)",",æɳgɔs'tjuərə"
"holdup man","danh từ: kẻ cướp đường","'houldʌp'mæn"
"obvolute","tính từ: (thực vật học) cuốn ngược",",ɔbvə'lju:t"
"retrogress","nội động từ: đi giật lùi, đi ngược lại",",retrou'gres"
"reconversion","danh từ: sự đổi lại (ý kiến, tôn giáo, đảng...); sự cải tâm lại, sự cải tính lại, sự cải tà quy chính lại; sự quay về với Chúa","'ri:kən'və:ʃn"
"senatorship","danh từ: cương vị thượng nghị sĩ","'senətəʃip"
"generalize","động từ: tổng quát hoá; khái quát hoá","'dʤenərəlaiz"
"pastor","danh từ: mục sư","'pɑ:stə"
"lovability","danh từ: tính đáng yêu, tính dễ thương",",lʌvə'biliti"
"hireling","danh từ: người đi làm thuê","'haiəliɳ"
"blood-relation","danh từ: họ hàng máu mủ, bà con ruột thịt","'blʌdri'leiʃn"
"unwhitewashed","tính từ: không quét vôi trắng","' n'waitw  t"
"joss","danh từ: thần (ở Trung quốc)","dʤɔs"
"ichthyoid","tính từ: như cá","'ikθiɔid"
"palm-tree","danh từ: (thực vật học) cây cọ; cây loại cau dừa","'pɑ:mtri:"
"ethnologic","tính từ: (thuộc) dân tộc học",",eθnou'lɔdʤik"
"sword-arm","danh từ: tay phải","'sɔ:dɑ:m"
"bulimia","danh từ: (y học) chứng cuồng ăn vô độ; chứng háu ăn","bju:'limiə"
"abrogation","danh từ: sự bãi bỏ, sự huỷ bỏ, sự thủ tiêu; sự bài trừ",",æbrou'geiʃn"
"epifocus","danh từ: (địa lý,địa chất) tâm động đất ((cũng) epicentrum)","'episentə"
"parlor-maid","danh từ: cô hầu bàn","'pɑ:ləmeid"
"nubile","tính từ: đến tuổi lấy chồng, tới tuần cập kê (con gái)","'nju:bil"
"jam","danh từ: mứt","dʤæm"
"rhea","danh từ: (động vật học) đà điểu Mỹ","'riə"
"levitation","danh từ: sự bay lên",",levi'teiʃn"
"surroundings","danh từ số nhiều: vùng phụ cận, vùng xung quanh","sə'raundiɳz"
"involvement","danh từ: sự gồm, sự bao hàm","in'vɔlvmənt"
"hairpin","danh từ: cái cặp tóc","'heəpin"
"distortion","danh từ: sự vặn vẹo, sự bóp méo, sự làm méo mó","dis'tɔ:ʃn"
"peltae","danh từ,  số nhiều peltae  /'pelti:/: cái mộc nhỏ, cái khiên nhỏ","'peltə"
"annunciator","danh từ: người công bố; người loan báo, người loan tin","ə'nʌnʃieitə"
"pick-a-back","phó từ: trên lưng (cõng, vác); trên vai (đội, kiệu)","'pikəbæk"
"day-spring","danh từ: (thơ ca) bình minh, rạng đông","'deispriɳ"
"eastwards","phó từ: về phía đông ((cũng) eastward)","'i:stwədz"
"hackney-carriage","danh từ: xe ngựa cho thuê","'hækni,kæridʤ"
"shilling","danh từ: đồng silinh","'ʃiliɳ"
"disciplinarian","danh từ: người giữ kỷ luật","'disipli'neəriən"
"knitwear","danh từ: đồ đan, quần áo đan; hàng dệt kim","'nitweə"
"consistently","phó từ: (:<i> with) phù hợp với, thích hợp với</i>","kən'sistəntli"
"coherence","danh từ: sự gắn với nhau, sự dính với nhau; sự kết lại với nhau, sự cố kết","kou'hiərəns"
"excuse","danh từ: lời xin lỗi; lý do để xin lỗi","iks'kju:z"
"lowermost","tính từ: thấp nhất","'louəmoust"
"polyspast","danh từ: (kỹ thuật) Palăng","'pɔlispæst"
"wither","ngoại động từ: làm héo, làm tàn úa; làm teo","'wi"
"petuntse","danh từ: đất trắng (để làm đồ sứ ở Trung quốc)","pi'tuntsə"
"manifesto","danh từ: bản tuyên ngôn",",mæni'festou"
"partiality","danh từ: tính thiên vị, tính không công bằng",",pɑ:ʃi'æliti"
"ashake","tính từ: run (vì rét...)","ə'ʃeik"
"fiberless","tính từ: không có sợi, không có thớ","'faibəlis"
"distingué","tính từ: cao nhã, thanh lịch ((cũng) distinguished)","dis'tæɳgei"
"heathenise","ngoại động từ: làm thành ngoại đạo","'hi:ðənaiz"
"widish","tính từ: hi rộng","'waidi"
"cinder track","danh từ: (thể dục,thể thao) đường chạy rải than xỉ","'sindəpɑ:θ"
"box-keeper","danh từ: người dẫn chỗ ngồi (ở các lô trong rạp hát)","'bɔks,ki:pə"
"spatter-dock","danh từ: (thực vật học) cây súng vàng","'spætədɔk"
"salty","tính từ: (thuộc) muối; có muối, mặn","'sɔ:lti"
"microbial","tính từ: (thuộc) vi trùng, (thuộc) vi khuẩn","mai'kroubiəl"
"swallow-dive","danh từ: sự nhào kiểu chim nhạn (nhào) xuống nước, hai tay duỗi thẳng cho lúc đến gần mặt nước)","'swɔloudaiv"
"weatherman","danh từ: (từ Mỹ,nghĩa Mỹ),  (thông tục) nhà khí tượng học","'weðəmə"
"lend","ngoại động từ: cho vay, cho mượn","end"
"exsection","danh từ: sự cắt bỏ","ek'sektʃn"
"slalom","danh từ: cuộc thi trượt tuyết theo đường dốc có vật chướng ngại","'sleiləm"
"imbecilic","tính từ: (thuộc) người khờ dại, (thuộc) người đần",",imbi'silik"
"torridity","danh từ: sức nóng cháy, sức nóng như thiêu như đốt","tɔ'riditi"
"aery","danh từ: tổ chim làm tít trên cao (của chim săn mồi)","'eəri"
"ague-cake","danh từ: (y học) bệnh sưng lá lách do sốt rét","'eigju:keik"
"telephony","danh từ: điện thoại","ti'lefəni"
"hammerer","danh từ: người quai búa, người đập búa","'hæmərə"
"haematuria","danh từ: (y học) chứng đái ra máu",",hemə'tjuəriə"
"afreet","danh từ: con quỷ (thần thoại người Hồi)","'æfri:t"
"impishness","danh từ: tính tinh quái, tính tinh ma quỷ quái","'impiʃnis"
"dithyramb","danh từ: thơ tán tụng, thơ đitian","'diθiræmb"
"riding-lamp","danh từ: đèn hiệu lúc thả neo (tàu thuỷ)","'raidiɳ'læmp"
"posy","danh từ: bó hoa","'pouzi"
"unexhausted","tính từ: không bị hút (không khí, hơi, nước, bụi...)","'ʌnig'zɔ:stid"
"appetizer","danh từ: rượu khai vị","'æpitaizə"
"passivation","danh từ: (kỹ thuật) sự thụ động hoá",",pæsi'veiʃn"
"monstrousness","danh từ: tính chất kỳ quái, tính chất quái dị","'mɔnstrəsnis"
"celticism","danh từ: phong tục tập quán Xen-tơ","'keltisizm"
"unaware","tính từ: không biết, không hay","'ʌbə'weə"
"absorbable","tính từ: có thể nuốt được; có thể bị hút","əb'sɔ:bəbl"
"supersacral","tính từ: (giải phẫu) trên xương cùng",",sju:pə'seikrəl"
"lambaste","ngoại động từ: (tiếng địa phương) đánh quật, vật","læm'beist"
"immeasurability","danh từ: tính vô hạn, tính mênh mông, tính không thể đo lường được","i,meʤərə'biliti"
"gig","danh từ: xe độc mã hai banh","gig"
"osculatory","tính từ: (toán học) mật tiếp","'ɔskjulətəri"
"sun-bonnet","danh từ: mũ che gáy (có miếng che gáy để tránh nắng, của phụ nữ)","'sʌn,bɔnit"
"radii","danh từ: (hoá học) Rađi","'reidjəm"
"viridescent","tính từ: xanh lục nhạt",",viri'desnt"
"schematic","tính từ: (thuộc) lược đồ, (thuộc) giản đồ, (thuộc) sơ đồ","ski'mætik"
"panzers","danh từ số nhiều: (thông tục) quân thiết giáp","'pæntsəz"
"sand-box","danh từ: (sử học) bình rắc cát (để thấm mực)","'sændbɔks"
"centralization","danh từ: sự tập trung",",sentrəlai'zeiʃn"
"boscage","danh từ: lùm cây","'bɔskidʤ"
"hospital","danh từ: bệnh viện, nhà thương","'hɔspitl"
"bowpot","danh từ: lọ (cắm) hoa","'baupɔt"
